@RELATION LNCRNAsequence

@ATTRIBUTE	1	NUMERIC
@ATTRIBUTE	2	NUMERIC
@ATTRIBUTE	3	NUMERIC
@ATTRIBUTE	4	NUMERIC
@ATTRIBUTE	5	NUMERIC
@ATTRIBUTE class {+1,0.5}

@DATA
7.999981,13.500000,-6.930000,1.948052,6.155740,0.5
7.999981,12.600000,-6.690000,1.883408,5.745358,0.5
7.999981,12.150000,-6.660000,1.824324,5.540166,0.5
7.999981,11.310000,-6.630000,1.705882,5.157142,0.5
7.999981,10.860000,-6.630000,1.638009,4.951951,0.5
7.999981,24.360000,-2.310000,10.545455,11.107691,0.5
7.999981,23.910000,-2.280000,10.486842,10.902500,0.5
7.999981,23.760000,-2.280000,10.421053,10.834103,0.5
7.999981,23.340000,-2.220000,10.513514,10.642591,0.5
7.999981,23.040000,-2.220000,10.378378,10.505797,0.5
7.999981,22.830000,-2.190000,10.424658,10.410041,0.5
7.999981,22.530000,-2.160000,10.430556,10.273246,0.5
6.999982,22.380000,-2.130000,10.507042,11.662687,0.5
6.999982,21.930000,-2.100000,10.442857,11.428183,0.5
6.999982,21.660000,-2.100000,10.314286,11.287480,0.5
6.999982,21.900000,-2.070000,10.579710,11.412549,0.5
6.999982,21.780000,-2.010000,10.835821,11.350014,0.5
6.999982,21.270000,-2.010000,10.582090,11.084243,0.5
6.999982,20.910000,-1.980000,10.560606,10.896639,0.5
7.999981,20.820000,-1.860000,11.193548,9.493519,0.5
7.999981,20.580000,-1.980000,10.393939,9.384084,0.5
7.999981,20.550000,-2.190000,9.383562,9.370405,0.5
7.999981,20.460000,-2.310000,8.857143,9.329366,0.5
10.999972,19.980000,-2.790000,7.161290,6.625816,0.5
10.999972,19.890000,-2.940000,6.765306,6.595970,0.5
10.999972,19.800000,-3.300000,6.000000,6.566124,0.5
13.999966,19.830000,-3.450000,5.747826,5.166914,0.5
13.999966,19.920000,-3.690000,5.398374,5.190364,0.5
13.999966,19.830000,-3.960000,5.007576,5.166914,0.5
15.999960,19.110000,-4.200000,4.550000,4.356897,0.5
15.999960,19.140000,-4.470000,4.281879,4.363736,0.5
15.999960,19.110000,-4.830000,3.956522,4.356897,0.5
15.999960,19.260000,-4.890000,3.938650,4.391095,0.5
19.999951,19.020000,-5.280000,3.602273,3.469102,0.5
19.999951,19.110000,-5.370000,3.558659,3.485517,0.5
19.999951,19.200000,-5.700000,3.368421,3.501933,0.5
21.999945,19.410000,-5.910000,3.284264,3.218395,0.5
21.999945,18.750000,-6.120000,3.063725,3.108960,0.5
21.999945,18.360000,-6.300000,2.914286,3.044294,0.5
23.999941,14.460000,-6.810000,2.123348,2.197827,0.5
23.999941,13.560000,-6.990000,1.939914,2.061033,0.5
24.999938,12.660000,-6.840000,1.850877,1.847269,0.5
23.999941,65.910000,-6.750000,9.764444,10.017898,0.5
23.999941,67.320000,-6.660000,10.108108,10.232209,0.5
23.999941,67.860000,-6.660000,10.189189,10.314285,0.5
23.999941,67.890000,-6.630000,10.239819,10.318845,0.5
23.999941,69.090000,-6.600000,10.468182,10.501238,0.5
23.999941,69.810000,-6.630000,10.529412,10.610673,0.5
23.999941,9.780000,2.880000,-3.395833,1.486497,0.5
23.999941,10.200000,3.030000,-3.366337,1.550335,0.5
24.999938,10.320000,3.180000,-3.245283,1.505831,0.5
24.999938,10.710000,3.360000,-3.187500,1.562737,0.5
24.999938,10.800000,3.390000,-3.185841,1.575870,0.5
24.999938,11.190000,3.540000,-3.161017,1.632776,0.5
25.999935,11.580000,3.570000,-3.243697,1.624695,0.5
25.999935,11.940000,3.600000,-3.316667,1.675203,0.5
25.999935,12.120000,3.630000,-3.338843,1.700458,0.5
25.999935,12.330000,3.690000,-3.341463,1.729921,0.5
25.999935,12.630000,3.750000,-3.368000,1.772012,0.5
25.999935,12.870000,3.780000,-3.404762,1.805684,0.5
26.999933,13.350000,3.840000,-3.476563,1.803657,0.5
26.999933,13.590000,3.840000,-3.539062,1.836083,0.5
26.999933,14.040000,3.870000,-3.627907,1.896880,0.5
26.999933,14.220000,3.870000,-3.674419,1.921199,0.5
28.999929,14.670000,3.930000,-3.732824,1.845307,0.5
28.999929,14.910000,3.930000,-3.793893,1.875496,0.5
28.999929,15.510000,3.900000,-3.976923,1.950969,0.5
29.999926,15.810000,3.870000,-4.085271,1.922415,0.5
29.999926,16.380000,3.690000,-4.439024,1.991724,0.5
29.999926,16.680000,3.630000,-4.595041,2.028203,0.5
30.999923,17.160000,3.540000,-4.847458,2.019259,0.5
30.999923,17.370000,3.480000,-4.991379,2.043971,0.5
30.999923,17.820000,3.360000,-5.303571,2.096923,0.5
30.999923,18.180000,3.180000,-5.716981,2.139285,0.5
31.999920,18.300000,3.090000,-5.922330,2.086112,0.5
31.999920,18.780000,2.940000,-6.387755,2.140830,0.5
31.999920,18.990000,2.880000,-6.593750,2.164769,0.5
32.999917,19.410000,2.730000,-7.109890,2.145597,0.5
32.999917,19.590000,2.670000,-7.337079,2.165494,0.5
32.999917,20.100000,2.520000,-7.976190,2.221870,0.5
32.999917,20.250000,2.430000,-8.333333,2.238451,0.5
32.999917,20.580000,2.280000,-9.026316,2.274930,0.5
32.999917,20.760000,2.190000,-9.479452,2.294827,0.5
32.999917,21.090000,2.010000,-10.492537,2.331306,0.5
34.999913,21.240000,1.920000,-11.062500,2.213722,0.5
34.999913,21.450000,1.740000,-12.327586,2.235609,0.5
34.999913,21.540000,1.650000,-13.054545,2.244989,0.5
34.999913,21.720000,1.440000,-15.083333,2.263749,0.5
34.999913,21.840000,1.290000,-16.930233,2.276256,0.5
34.999913,22.170000,1.080000,-20.527778,2.310650,0.5
36.999908,22.320000,0.960000,-23.250000,2.200539,0.5
36.999908,22.440000,0.720000,-31.166667,2.212370,0.5
36.999908,22.500000,0.570000,-39.473684,2.218285,0.5
36.999908,22.890000,0.270000,-84.777778,2.256735,0.5
38.999902,22.920000,0.090000,-254.666667,2.143811,0.5
38.999902,22.290000,-0.240000,92.875000,2.084885,0.5
38.999902,22.200000,-0.450000,49.333333,2.076466,+1
39.999901,22.140000,-0.840000,26.357143,2.019083,+1
39.999901,21.990000,-1.200000,18.325000,2.005404,+1
39.999901,21.750000,-1.620000,13.425926,1.983516,+1
39.999901,21.630000,-1.740000,12.431034,1.972573,+1
39.999901,21.270000,-2.160000,9.847222,1.939742,+1
38.999902,20.970000,-2.430000,8.629630,1.961419,+1
38.999902,20.820000,-2.580000,8.069767,1.947389,+1
38.999902,20.460000,-2.850000,7.178947,1.913716,+1
36.999908,3.360000,-1.830000,1.836066,0.331264,+1
36.999908,2.910000,-2.250000,1.293333,0.286898,+1
34.999913,2.610000,-2.370000,1.101266,0.272025,+1
34.999913,2.310000,-2.430000,0.950617,0.240758,+1
34.999913,2.010000,-2.490000,0.807229,0.209491,+1
33.999916,1.830000,-2.520000,0.726190,0.196340,+1
33.999916,1.500000,-2.580000,0.581395,0.160934,+1
33.999916,1.350000,-2.610000,0.517241,0.144841,+1
32.999917,0.990000,-2.670000,0.370787,0.109435,+1
32.999917,0.840000,-2.700000,0.311111,0.092854,+1
32.999917,0.480000,-2.760000,0.173913,0.053060,+1
32.999917,0.300000,-2.790000,0.107527,0.033162,+1
32.999917,30.390000,-9.150000,3.321311,3.359335,+1
32.999917,29.790000,-9.120000,3.266447,3.293010,+1
32.999917,28.620000,-9.120000,3.138158,3.163678,+1
33.999916,28.020000,-9.120000,3.072368,3.006255,+1
33.999916,26.820000,-9.150000,2.931148,2.877507,+1
2.999993,70.020000,11.610000,-6.031008,85.140716,0.5
2.999993,70.800000,11.460000,-6.178010,86.089155,0.5
2.999993,72.390000,11.220000,-6.451872,88.022514,0.5
5.999985,73.080000,11.070000,-6.601626,44.430771,0.5
5.999985,74.100000,10.800000,-6.861111,45.050905,0.5
5.999985,74.910000,10.680000,-7.014045,45.543364,0.5
13.999966,79.800000,9.510000,-8.391167,20.792724,0.5
13.999966,81.450000,9.180000,-8.872549,21.222648,0.5
13.999966,82.260000,9.000000,-9.140000,21.433702,0.5
16.999957,83.490000,8.850000,-9.433898,17.915218,0.5
16.999957,84.630000,8.640000,-9.795139,18.159838,0.5
16.999957,87.600000,8.280000,-10.579710,18.797138,0.5
19.999951,87.780000,8.130000,-10.797048,16.010398,0.5
19.999951,87.570000,7.860000,-11.141221,15.972095,0.5
19.999951,88.080000,7.740000,-11.379845,16.065115,0.5
19.999951,87.180000,7.500000,-11.624000,15.900962,0.5
23.999941,87.660000,7.380000,-11.878049,13.323759,0.5
23.999941,88.620000,7.140000,-12.411765,13.469672,0.5
23.999941,88.080000,7.050000,-12.493617,13.387596,0.5
25.999935,88.980000,6.810000,-13.066079,12.484053,0.5
25.999935,89.430000,6.690000,-13.367713,12.547189,0.5
25.999935,92.130000,6.510000,-14.152074,12.926003,0.5
27.999930,92.670000,6.420000,-14.434579,12.073069,0.5
27.999930,93.930000,6.210000,-15.125604,12.237222,0.5
27.999930,94.590000,6.090000,-15.532020,12.323207,0.5
53.999865,64.770000,-14.580000,4.442387,4.375389,0.5
53.999865,64.170000,-14.610000,4.392197,4.334858,0.5
53.999865,63.150000,-14.640000,4.313525,4.265954,0.5
53.999865,62.190000,-14.670000,4.239264,4.201103,0.5
53.999865,60.630000,-14.730000,4.116090,4.095721,0.5
53.999865,57.810000,-14.760000,3.916667,3.905222,0.5
53.999865,56.850000,-14.760000,3.851626,3.840372,0.5
54.999864,55.890000,-14.760000,3.786585,3.706875,0.5
58.999853,51.810000,-2.940000,17.622449,3.203304,0.5
58.999853,51.540000,-2.940000,17.530612,3.186610,0.5
59.999852,51.300000,-2.970000,17.272727,3.118909,0.5
59.999852,51.090000,-3.030000,16.861386,3.106141,0.5
59.999852,50.610000,-3.060000,16.539216,3.076958,0.5
59.999852,50.520000,-3.150000,16.038095,3.071487,0.5
59.999852,50.160000,-3.330000,15.063063,3.049600,0.5
59.999852,49.830000,-3.420000,14.570175,3.029536,0.5
59.999852,49.500000,-3.510000,14.102564,3.009473,0.5
59.999852,49.170000,-3.540000,13.889831,2.989410,0.5
59.999852,48.690000,-3.600000,13.525000,2.960227,0.5
59.999852,48.450000,-3.630000,13.347107,2.945636,0.5
59.999852,47.970000,-3.690000,13.000000,2.916453,0.5
59.999852,47.700000,-3.720000,12.822581,2.900038,0.5
59.999852,47.220000,-3.810000,12.393701,2.870855,0.5
59.999852,47.040000,-3.870000,12.155039,2.859912,0.5
59.999852,46.620000,-3.990000,11.684211,2.834377,0.5
59.999852,46.410000,-4.080000,11.375000,2.821609,0.5
59.999852,45.780000,-4.200000,10.900000,2.783307,0.5
59.999852,45.480000,-4.320000,10.527778,2.765068,0.5
59.999852,45.090000,-4.530000,9.953642,2.741357,0.5
59.999852,45.150000,-4.620000,9.772727,2.745004,0.5
59.999852,44.370000,-4.800000,9.243750,2.697582,0.5
59.999852,43.860000,-4.920000,8.914634,2.666576,0.5
59.999852,43.050000,-5.130000,8.391813,2.617330,0.5
59.999852,42.690000,-5.280000,8.085227,2.595443,0.5
59.999852,41.850000,-5.640000,7.420213,2.544373,0.5
59.999852,41.550000,-5.850000,7.102564,2.526134,0.5
59.999852,40.740000,-6.300000,6.466667,2.476888,0.5
59.999852,40.350000,-6.510000,6.198157,2.453177,0.5
59.999852,39.420000,-6.960000,5.663793,2.396635,0.5
59.999852,38.520000,-7.380000,5.219512,2.341917,0.5
59.999852,37.860000,-7.590000,4.988142,2.301791,0.5
59.999852,36.690000,-7.980000,4.597744,2.230658,0.5
59.999852,36.240000,-8.190000,4.424908,2.203299,0.5
59.999852,35.250000,-8.610000,4.094077,2.143110,0.5
59.999852,33.480000,-9.180000,3.647059,2.035498,0.5
59.999852,32.700000,-9.360000,3.493590,1.988076,0.5
58.999853,31.680000,-9.570000,3.310345,1.958708,0.5
58.999853,31.200000,-9.720000,3.209877,1.929031,0.5
58.999853,29.940000,-10.050000,2.979104,1.851127,0.5
58.999853,29.280000,-10.200000,2.870588,1.810321,0.5
58.999853,27.930000,-10.530000,2.652422,1.726853,0.5
58.999853,27.270000,-10.680000,2.553371,1.686047,0.5
58.999853,25.860000,-11.010000,2.348774,1.598870,0.5
57.999856,25.140000,-11.160000,2.252688,1.581153,0.5
57.999856,23.670000,-11.490000,2.060052,1.488699,0.5
57.999856,22.170000,-11.820000,1.875635,1.394358,0.5
57.999856,21.390000,-11.970000,1.786967,1.345301,0.5
57.999856,72.330000,-4.140000,17.471014,4.549116,0.5
57.999856,71.730000,-4.140000,17.326087,4.511380,0.5
57.999856,71.490000,-4.140000,17.268116,4.496285,0.5
57.999856,70.620000,-4.140000,17.057971,4.441567,0.5
57.999856,70.440000,-4.170000,16.892086,4.430247,0.5
57.999856,69.900000,-4.200000,16.642857,4.396284,0.5
57.999856,69.720000,-4.260000,16.366197,4.384963,0.5
57.999856,68.670000,-4.320000,15.895833,4.318924,0.5
57.999856,68.610000,-4.350000,15.772414,4.315151,0.5
57.999856,68.040000,-4.380000,15.534247,4.279301,0.5
57.999856,67.740000,-4.500000,15.053333,4.260433,0.5
57.999856,-0.030000,-0.030000,-1.000000,-0.001887,0.5
57.999856,67.230000,-4.590000,14.647059,4.228357,0.5
57.999856,66.660000,-4.680000,14.243590,4.192508,0.5
57.999856,66.270000,-4.710000,14.070064,4.167979,0.5
57.999856,65.850000,-4.740000,13.892405,4.141564,0.5
57.999856,65.400000,-4.740000,13.797468,4.113261,0.5
57.999856,64.920000,-4.770000,13.610063,4.083072,0.5
57.999856,64.080000,-4.770000,13.433962,4.030241,0.5
57.999856,63.780000,-4.770000,13.371069,4.011373,0.5
57.999856,62.940000,-4.800000,13.112500,3.958542,0.5
57.999856,62.610000,-4.800000,13.043750,3.937787,0.5
57.999856,62.430000,-4.830000,12.925466,3.926466,0.5
57.999856,62.100000,-4.860000,12.777778,3.905711,0.5
57.999856,61.740000,-4.860000,12.703704,3.883070,0.5
57.999856,61.650000,-4.920000,12.530488,3.877409,0.5
57.999856,61.020000,-4.950000,12.327273,3.837786,0.5
57.999856,60.690000,-4.950000,12.260606,3.817031,0.5
57.999856,60.060000,-4.980000,12.060241,3.777408,0.5
57.999856,59.730000,-5.010000,11.922156,3.756653,0.5
57.999856,59.160000,-5.430000,10.895028,3.720803,0.5
57.999856,58.530000,-5.700000,10.268421,3.681180,0.5
57.999856,57.780000,-5.820000,9.927835,3.634010,0.5
57.999856,57.390000,-5.880000,9.760204,3.609481,0.5
57.999856,43.560000,-6.510000,6.691244,2.739658,0.5
57.999856,42.420000,-6.480000,6.546296,2.667959,0.5
57.999856,42.480000,-6.450000,6.586047,2.671733,0.5
57.999856,41.640000,-6.420000,6.485981,2.618902,0.5
58.999853,41.700000,-6.390000,6.525822,2.578224,0.5
58.999853,41.790000,-6.330000,6.601896,2.583788,0.5
58.999853,41.100000,-6.330000,6.492891,2.541127,0.5
58.999853,40.800000,-6.300000,6.476190,2.522579,0.5
58.999853,39.540000,-6.240000,6.336538,2.444675,0.5
58.999853,38.790000,-6.240000,6.216346,2.398304,+1
58.999853,38.130000,-6.210000,6.140097,2.357498,+1
58.999853,37.710000,-6.210000,6.072464,2.331530,+1
58.999853,36.750000,-6.150000,5.975610,2.272176,+1
58.999853,36.360000,-6.150000,5.912195,2.248063,+1
58.999853,35.550000,-6.120000,5.808824,2.197982,+1
58.999853,35.160000,-6.090000,5.773399,2.173869,+1
58.999853,34.380000,-6.060000,5.673267,2.125643,+1
58.999853,33.570000,-6.030000,5.567164,2.075563,+1
51.498880,113.730000,-23.790000,4.780580,8.055875,+1
51.498880,112.140000,-24.000000,4.672500,7.943250,+1
51.498880,108.930000,-24.120000,4.516169,7.715875,+1
100.999748,45.690000,-3.090000,14.786408,1.650199,0.5
100.999748,45.300000,-3.090000,14.660194,1.636113,0.5
100.999748,45.060000,-3.090000,14.582524,1.627445,0.5
100.999748,44.670000,-3.120000,14.317308,1.613359,0.5
100.999748,44.460000,-3.150000,14.114286,1.605775,0.5
100.999748,44.040000,-3.150000,13.980952,1.590606,0.5
100.999748,43.770000,-3.150000,13.895238,1.580854,0.5
100.999748,43.290000,-3.150000,13.742857,1.563518,0.5
100.999748,43.140000,-3.060000,14.098039,1.558100,0.5
100.999748,42.900000,-3.120000,13.750000,1.549432,0.5
99.999751,42.450000,-3.150000,13.476190,1.548511,0.5
99.999751,42.240000,-3.150000,13.409524,1.540850,0.5
99.999751,41.790000,-3.150000,13.266667,1.524435,0.5
99.999751,41.610000,-3.120000,13.336538,1.517869,0.5
99.999751,41.220000,-3.090000,13.339806,1.503642,0.5
99.999751,41.010000,-3.090000,13.271845,1.495982,0.5
99.999751,40.620000,-3.090000,13.145631,1.481755,0.5
99.999751,40.440000,-3.090000,13.087379,1.475189,0.5
99.999751,39.990000,-3.060000,13.068627,1.458774,0.5
99.999751,39.840000,-3.060000,13.019608,1.453302,0.5
99.999751,39.390000,-3.060000,12.872549,1.436887,0.5
99.999751,41.430000,-0.690000,60.043478,1.511303,0.5
99.999751,41.250000,-0.630000,65.476190,1.504737,0.5
99.999751,41.220000,-0.630000,65.428571,1.503642,0.5
99.999751,41.160000,-0.600000,68.600000,1.501454,0.5
99.999751,41.100000,-0.570000,72.105263,1.499265,0.5
98.999754,41.010000,-0.450000,91.133333,1.511093,0.5
98.999754,40.980000,-0.450000,91.066667,1.509987,0.5
98.999754,40.920000,-0.420000,97.428571,1.507777,0.5
98.999754,40.890000,-0.390000,104.846154,1.506671,0.5
98.999754,40.500000,-0.300000,135.000000,1.492301,0.5
98.999754,39.960000,-0.240000,166.500000,1.472403,0.5
98.999754,39.930000,-0.210000,190.142857,1.471298,0.5
98.999754,35.160000,-3.060000,11.490196,1.295538,0.5
98.999754,34.740000,-3.000000,11.580000,1.280062,0.5
98.999754,34.500000,-3.000000,11.500000,1.271219,0.5
98.999754,34.050000,-2.970000,11.464646,1.254638,0.5
98.999754,33.870000,-2.970000,11.404040,1.248006,0.5
98.999754,33.480000,-2.940000,11.387755,1.233635,0.5
97.999757,33.240000,-2.910000,11.422680,1.237290,0.5
97.999757,32.820000,-2.880000,11.395833,1.221656,0.5
97.999757,32.640000,-2.850000,11.452632,1.214956,0.5
97.999757,32.280000,-2.820000,11.446809,1.201556,0.5
